caso 0:
9 0
922 0
978 2
981 3
992 7
996 32
999 53
999 924
997 955
981 999
88 999
28 995
2 984
0 836
0 16
2 10

caso 1:
207 0
987 0
996 7
999 165
999 793
998 984
994 994
951 999
104 999
30 998
1 996
0 974
0 43
4 13
9 1

caso 2:
37 0
960 0
992 7
997 34
999 178
999 935
998 988
996 999
61 999
1 989
0 941
0 38
7 11
12 7

caso 3:
4 0
983 0
996 7
999 23
999 977
998 995
984 998
881 999
25 999
19 998
1 973
0 946
0 134
1 19

caso 4:
161 0
979 0
993 4
999 29
999 950
992 996
907 998
744 999
275 999
9 997
1 995
0 936
0 22
2 3
82 1

caso 5:
52 0
907 0
993 2
998 18
999 108
999 966
996 997
968 998
887 999
10 999
0 981
0 79
3 35
5 15
16 3

caso 6:
47 0
962 0
984 1
995 7
999 22
999 937
993 996
979 999
112 999
10 997
4 994
1 980
0 819
0 204
2 46
4 4
10 1

caso 7:
1 0
931 0
975 1
998 16
999 138
999 931
997 997
990 999
156 999
64 998
3 996
1 992
0 748
0 75

caso 8:
20 0
986 0
997 8
999 178
999 874
997 993
916 997
882 998
833 999
30 999
0 981
0 101
1 46
5 19
14 3

caso 9:
164 0
969 0
987 1
993 11
998 21
999 29
999 974
974 996
920 999
247 999
117 998
11 997
3 996
0 946
0 73
3 13
5 5
72 1
