SHIPPING ROUTES OUTPUT

DATA SET  1

NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
$2400
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
