1
10000 39466
1 689 291
1902 1 554
1 2000 654
1 2798 474
2993 1 838
3555 1 586
1 4026 293
1 4569 54
1 5663 992
7894 1 491
8028 1 367
1 9481 423
9961 1 988
2 1288 361
1931 2 776
2129 2 659
2416 2 842
4863 2 180
2 4968 929
8531 2 419
2 9824 820
196 3 321
1836 3 776
4694 3 527
6054 3 626
7241 3 984
3 7281 70
3 8278 264
8715 3 456
4 272 277
4 1906 664
4 2339 148
4 4951 907
6504 4 223
4 7595 823
194 5 350
5 5788 463
6231 5 196
5 9877 856
6 120 963
315 6 435
6 381 114
987 6 317
1477 6 382
6 2358 27
3769 6 839
6 5460 985
5493 6 693
6 6754 933
6 8909 26
401 7 640
7 856 545
1148 7 973
1606 7 552
2377 7 925
4703 7 970
7 6985 273
7013 7 416
9745 7 242
8 145 369
8 180 166
8 560 663
8 1801 651
3460 8 365
4723 8 721
8 5359 550
7974 8 419
8 8959 982
9909 8 375
9 2177 47
3440 9 110
9649 9 85
1692 10 422
1947 10 971
10 6220 22
6567 10 50
6693 10 529
10 6821 214
10 7754 774
9617 10 932
11 1415 727
11 2560 529
2749 11 706
3452 11 797
11 5072 117
5323 11 416
8562 11 277
11 8786 539
12 950 440
12 3105 938
12 7319 568
7698 12 408
2275 13 819
2882 13 500
3547 13 738
13 3690 322
4354 13 991
6152 13 245
6156 13 243
13 6925 820
13 8129 998
13 9428 939
466 14 560
977 14 724
14 2120 615
2338 14 253
3658 14 994
4321 14 355
14 4892 398
14 5332 535
6390 14 127
7241 14 160
14 8474 673
79 15 290
556 15 47
15 1082 45
15 1299 172
1886 15 441
3218 15 296
15 3917 728
4699 15 517
4837 15 932
6091 15 450
15 6782 732
8460 15 744
8804 15 721
15 8849 564
1765 16 229
3661 16 284
5692 16 102
8901 16 638
9321 16 928
811 17 677
17 1627 289
2621 17 92
17 2785 800
17 3715 600
4083 17 1000
17 8148 826
8593 17 74
199 18 690
367 18 697
18 651 874
792 18 10
18 1106 762
3323 18 363
3373 18 271
18 3401 547
5154 18 138
5364 18 699
8927 18 526
19 1738 651
19 1742 210
19 6092 328
19 6236 976
6276 19 77
19 8384 956
19 9626 183
20 1188 153
1758 20 142
5407 20 89
20 7322 832
20 7786 172
8839 20 216
8906 20 835
9938 20 664
21 1392 444
1798 21 618
2227 21 41
2654 21 101
2969 21 260
3265 21 365
3276 21 78
5703 21 212
21 6622 1
21 6889 729
21 7281 906
21 7994 350
9415 21 835
21 9493 406
9913 21 399
1446 22 718
1527 22 432
22 1892 36
22 3975 678
4172 22 277
7653 22 544
8041 22 259
22 8991 784
9492 22 591
431 23 218
4928 23 35
5132 23 205
23 5377 764
23 8083 725
23 8728 518
9099 23 584
9291 23 248
24 490 272
747 24 97
5033 24 520
5842 24 131
6340 24 427
24 6893 6
7772 24 617
523 25 977
822 25 107
921 25 253
1657 25 633
2133 25 770
25 2863 810
25 6573 646
8081 25 492
25 9936 875
26 246 556
1530 26 993
2627 26 393
3364 26 244
4348 26 476
7694 26 783
26 9389 474
26 9643 800
50 27 245
1183 27 734
27 2162 888
27 2734 841
5210 27 562
27 5526 281
6460 27 348
27 7173 73
8878 27 78
27 9286 541
28 374 703
28 5566 978
8022 28 300
8731 28 925
9913 28 443
29 1667 38
4076 29 408
29 5112 294
5531 29 88
29 6609 760
6979 29 420
7400 29 140
29 7642 264
8098 29 625
8347 29 365
8529 29 20
9495 29 747
30 434 308
2867 30 707
4376 30 464
5511 30 892
30 6003 747
6361 30 412
6399 30 678
6649 30 706
30 7010 623
30 7740 329
8021 30 569
30 9054 472
9256 30 860
30 9875 216
31 299 870
936 31 173
1155 31 450
1604 31 9
31 2023 128
31 2392 613
31 6172 293
7165 31 273
31 8624 789
32 640 334
1650 32 838
32 4077 737
32 4647 375
32 5100 19
32 6731 880
32 6806 168
32 9974 460
33 74 981
33 724 468
1064 33 253
1647 33 38
3104 33 749
33 3114 286
3954 33 510
33 4054 227
33 7670 147
8194 33 822
8799 33 60
9241 33 62
33 9978 379
64 34 872
402 34 725
34 1799 621
34 2074 594
34 3477 203
3480 34 528
3617 34 777
4701 34 565
5907 34 485
34 6030 148
62 35 753
35 206 979
293 35 606
35 488 218
524 35 759
2861 35 374
35 4207 97
35 4223 662
35 5548 577
35 6825 486
475 36 575
36 668 587
36 1069 89
36 5827 677
36 6647 891
36 9050 948
9941 36 54
1063 37 780
37 1987 998
2050 37 635
2103 37 57
3998 37 181
37 5056 829
6055 37 957
6412 37 481
37 7749 783
37 9521 278
38 656 219
1075 38 415
38 1295 821
2502 38 47
2785 38 403
4580 38 50
4676 38 87
7068 38 119
7745 38 470
38 8165 244
38 8236 96
38 8769 419
9019 38 392
9060 38 947
9390 38 966
9523 38 858
251 39 723
39 689 354
1423 39 621
39 2662 113
39 3053 516
39 3089 518
4080 39 92
4510 39 864
5278 39 84
39 7668 769
7788 39 302
39 8029 763
9720 39 952
1972 40 986
2420 40 171
5190 40 98
8855 40 594
9942 40 202
735 41 820
41 871 258
1186 41 22
41 1325 696
3554 41 803
6275 41 977
8950 41 413
8953 41 7
9703 41 569
42 1227 70
2335 42 589
2635 42 835
4927 42 581
42 5620 399
42 7270 599
8430 42 416
9073 42 980
553 43 192
43 586 624
1161 43 291
5740 43 651
43 5765 211
5909 43 57
43 6770 262
43 7066 319
43 7444 859
9129 43 295
44 832 592
1032 44 806
2238 44 704
44 2852 243
3225 44 147
3705 44 83
44 5337 478
5504 44 67
44 6903 628
9373 44 654
44 9548 933
986 45 656
1330 45 767
1961 45 561
45 2004 194
45 5807 798
7442 45 816
1305 46 572
1505 46 965
2950 46 766
4873 46 243
46 5107 698
6396 46 217
8787 46 63
3825 47 733
4593 47 946
47 4974 519
6330 47 817
6910 47 216
47 9177 191
95 48 684
184 48 25
780 48 300
48 2342 656
2955 48 750
7091 48 680
48 7625 944
48 8082 49
48 8627 523
48 9187 292
9428 48 557
770 49 784
49 1619 658
49 1911 653
3289 49 164
7079 49 456
49 7932 16
49 9453 713
666 50 922
50 2103 794
50 3817 636
50 4044 929
50 4573 187
50 6344 175
50 9227 123
51 338 474
51 1954 516
51 4823 543
51 6060 349
51 7636 12
51 7740 928
51 8031 494
8381 51 654
51 8490 262
1957 52 564
52 3700 769
52 3764 278
4291 52 496
52 4634 603
52 4949 5
52 6184 521
52 6689 296
53 309 419
53 1828 721
4281 53 136
5463 53 246
7830 53 454
9002 53 791
872 54 910
1397 54 648
54 5090 730
54 7808 255
55 1801 876
55 2097 103
55 3390 217
55 6392 588
55 6717 534
55 7033 415
55 7185 1
55 8024 932
56 522 644
56 1998 675
56 4295 613
56 6456 188
56 7239 337
8399 56 511
56 8517 922
9357 56 810
56 9762 711
184 57 436
2169 57 516
3092 57 626
57 7056 521
58 170 527
1049 58 463
3837 58 146
8707 58 271
9791 58 122
59 203 741
331 59 413
59 580 102
59 583 298
646 59 502
2556 59 347
59 3646 70
59 5340 224
59 6587 684
9825 59 103
1849 60 386
60 2216 296
2291 60 627
4367 60 449
60 5673 731
60 6278 917
949 61 335
61 2173 314
5090 61 918
61 6427 658
61 6554 294
61 8794 362
8829 61 321
408 62 394
62 815 761
2941 62 429
2961 62 882
62 3469 354
62 7764 319
62 9679 49
63 86 280
3587 63 890
63 3658 50
63 4139 858
4502 63 504
5527 63 743
63 6572 816
63 8269 543
64 403 913
64 723 612
64 1177 788
1262 64 899
1464 64 536
64 1490 140
1638 64 986
64 1793 44
2203 64 789
2292 64 306
2787 64 775
2931 64 367
4316 64 428
7104 64 441
64 7145 750
7560 64 858
64 8161 69
8187 64 812
65 262 964
65 670 624
65 1991 420
65 2698 760
65 4652 773
7854 65 113
65 7972 602
65 9072 236
302 66 252
558 66 279
2804 66 570
66 3457 912
7495 66 936
66 8060 466
66 9014 789
625 67 667
2601 67 649
67 4604 373
6071 67 919
6997 67 124
67 7012 519
67 7053 591
67 8313 911
67 8679 954
1398 68 227
68 1726 387
68 2189 819
4363 68 516
4664 68 676
9914 68 344
69 1472 690
69 1557 585
69 2685 900
2918 69 498
3088 69 496
3272 69 577
69 3885 224
6627 69 863
69 6940 453
69 9190 2
9691 69 604
70 137 907
471 70 678
70 491 884
70 1262 204
1784 70 124
70 2019 162
70 3527 478
70 6228 468
7152 70 238
9928 70 159
71 1062 270
1939 71 817
71 5708 273
5717 71 275
71 5840 894
71 6097 677
6186 71 102
71 6492 659
376 72 617
1302 72 911
72 4170 22
8339 72 144
8838 72 458
9927 72 497
73 1459 187
73 1815 924
73 2272 789
73 4311 153
5492 73 444
73 5648 737
73 6817 644
73 7107 208
8496 73 894
9130 73 587
74 967 355
74 1291 118
1716 74 373
2402 74 881
3162 74 444
5014 74 596
5173 74 591
74 5530 424
6575 74 756
7860 74 320
74 9355 194
74 9478 976
75 316 4
75 425 884
1426 75 321
75 2909 597
3193 75 402
75 3234 608
75 3262 171
3551 75 935
75 4031 21
75 4870 532
76 1801 283
76 2056 834
4148 76 996
4272 76 494
4700 76 385
76 5128 207
76 5551 1000
76 6276 90
6418 76 8
6455 76 137
76 6765 869
76 6963 789
7478 76 990
76 7537 177
76 7970 117
77 557 769
732 77 447
1222 77 339
77 4147 605
77 8837 852
77 9283 74
77 9824 958
9925 77 86
381 78 833
78 1039 235
6082 78 200
8846 78 838
9136 78 301
2702 79 759
79 3804 255
4285 79 788
79 4378 163
4687 79 155
79 5916 737
79 7278 647
9089 79 497
569 80 597
755 80 766
80 5312 528
80 6832 353
80 7645 633
582 81 89
1820 81 891
81 1888 945
81 2103 830
3233 81 898
3239 81 434
81 3641 803
81 3702 367
81 5894 606
81 7091 226
81 9689 158
82 1896 250
2235 82 14
2255 82 20
82 2586 819
82 3156 956
3834 82 420
82 4928 581
5658 82 680
9084 82 603
83 1310 145
3077 83 118
3234 83 168
5983 83 394
83 8437 66
83 8454 877
84 799 793
1177 84 609
84 1703 398
1779 84 67
84 2928 21
3425 84 538
84 3480 585
84 3485 964
4765 84 698
84 7041 133
7103 84 45
8622 84 946
8629 84 203
9201 84 133
9523 84 315
9791 84 177
85 1537 524
2300 85 441
2334 85 622
85 3212 836
85 6209 521
7665 85 140
85 7694 289
8062 85 367
8524 85 816
85 9317 597
1166 86 492
1433 86 988
86 3085 475
86 3186 136
4361 86 331
86 8377 902
1238 87 399
87 2782 563
2880 87 239
87 3850 305
4320 87 967
5504 87 106
5556 87 315
6728 87 320
87 8503 545
726 88 524
1161 88 696
1162 88 821
1401 88 784
1886 88 75
2985 88 402
6545 88 100
88 6556 928
88 7838 983
89 942 344
1390 89 416
1537 89 774
2840 89 900
4961 89 992
89 6709 853
