1 3 5 7 9 11
1 3 5 7 9 12
1 3 5 7 10 11
1 3 5 7 10 12
1 3 5 8 9 11
1 3 5 8 9 12
1 3 5 8 10 11
1 3 5 8 10 12
1 3 6 7 9 11
1 3 6 7 9 12
1 3 6 7 10 11
1 3 6 7 10 12
1 3 6 8 9 11
1 3 6 8 9 12
1 3 6 8 10 11
1 3 6 8 10 12
1 4 5 7 9 11
1 4 5 7 9 12
1 4 5 7 10 11
1 4 5 7 10 12
1 4 5 8 9 11
1 4 5 8 9 12
1 4 5 8 10 11
1 4 5 8 10 12
1 4 6 7 9 11
1 4 6 7 9 12
1 4 6 7 10 11
1 4 6 7 10 12
1 4 6 8 9 11
1 4 6 8 9 12
1 4 6 8 10 11
1 4 6 8 10 12
2 3 5 7 9 11
2 3 5 7 9 12
2 3 5 7 10 11
2 3 5 7 10 12
2 3 5 8 9 11
2 3 5 8 9 12
2 3 5 8 10 11
2 3 5 8 10 12
2 3 6 7 9 11
2 3 6 7 9 12
2 3 6 7 10 11
2 3 6 7 10 12
2 3 6 8 9 11
2 3 6 8 9 12
2 3 6 8 10 11
2 3 6 8 10 12
2 4 5 7 9 11
2 4 5 7 9 12
2 4 5 7 10 11
2 4 5 7 10 12
2 4 5 8 9 11
2 4 5 8 9 12
2 4 5 8 10 11
2 4 5 8 10 12
2 4 6 7 9 11
2 4 6 7 9 12
2 4 6 7 10 11
2 4 6 7 10 12
2 4 6 8 9 11
2 4 6 8 9 12
2 4 6 8 10 11
2 4 6 8 10 12
