id,name,level,time,evaluation
2,3 Numeros em Ordem Crescente,1,0.00607,CORRECT
3,Soma de uma sequência de números,1,0.003592,CORRECT
4,Figurinhas dos Irmãos,5,0.002249,CORRECT
5,Fila de banco,6,0.003573,CORRECT
6,Equação do Segundo Grau,2,0.002062,CORRECT
7,Calculadora,3,0.001651,WRONG_ANSWER
8,Matrizes,8,0.001585,WRONG_ANSWER
9,Caracteres,2,0.002094,CORRECT
10,Festa da Marilda,2,0.001978,CORRECT
11,Tradução,6,0.001781,CORRECT
12,Lanchonete da Ambrosina,2,0.00228,CORRECT
13,MSX,4,0.001828,CORRECT
14,Posições Livres,9,0.001747,CORRECT
15,Seja Bem Vindo!,1,0.002925,CORRECT
16,Bingo,1,0.001654,CORRECT
17,Antecessor e Sucessor,1,0.001933,CORRECT
18,Menor de 3,1,0.004417,CORRECT
19,Média dos alunos,1,0.002088,CORRECT
20,Loop de inteiros,1,0.00156,CORRECT
21,Loop de ímpares,1,0.002113,CORRECT
22,Tabuada,1,0.002102,CORRECT
23,Múltiplos de Cinco,1,0.001748,CORRECT
24,Fatorial,2,0.001561,CORRECT
25,Propriedade do Invertido,2,0.001653,CORRECT
27,Jogo de Cartas-WAR,5,0.028398,WRONG_ANSWER
28,Inverter com 2 algarismos,1,0.003603,CORRECT
29,Inverter com 4 algarismos,3,0.002243,CORRECT
31,Quantos minutos se passaram,1,0.002351,CORRECT
32,Fahrenheit para Celsius,1,0.002245,CORRECT
33,Soma Frações,3,-1.0,COMPILATION_ERROR
34,Saque de banco,1,0.00215,CORRECT
35,Invertido,1,0.002147,CORRECT
36,Maior Múltiplo,1,0.002144,CORRECT
37,Segundos,1,0.001505,CORRECT
38,Perímetro,1,0.002233,CORRECT
39,Aprovado,1,0.003076,CORRECT
40,Coma bem,1,0.002393,CORRECT
41,Decrescente 3,1,0.002327,CORRECT
42,Eleitor,1,0.001904,CORRECT
43,Igual ou diferente,1,0.001987,CORRECT
44,Intermediário 3,1,0.002014,CORRECT
45,Sistema horário,1,0.002092,CORRECT
46,Dias entre datas,4,0.004678,CORRECT
47,Propriedade do 3025,2,0.002002,CORRECT
48,Propriedade do Divisor,1,0.006955,CORRECT
49,Classificação de Triângulos,1,0.002586,CORRECT
50,Foto de Família,1,0.001941,CORRECT
51,Mercearia do Ambrósio,1,0.002305,CORRECT
52,Números perfeitos,1,0.00194,CORRECT
53,Séries divergentes,2,0.005568,WRONG_ANSWER
54,Banda,5,0.004454,CORRECT
55,Sequência de 10,1,0.00215,WRONG_ANSWER
56,Matrículas Duplas,1,0.002624,CORRECT
57,Média de n números,1,0.001928,CORRECT
58,Olimpíadas,5,0.002672,CORRECT
61,Dama,3,0.002208,CORRECT
62,Revisão de Contrato,5,0.002288,CORRECT
63,Leitura Ótica,4,0.002284,CORRECT
