Path 1:
    Brightness 1: 2
    Brightness 2: 0
    Brightness 3: 0
    Brightness 4: 0
    Brightness 5: 0
    Brightness 6: 0
    Brightness 7: 1
    Brightness 8: 0
    Brightness 9: 0
Path 2:
    Brightness 1: 0
    Brightness 2: 0
    Brightness 3: 2
    Brightness 4: 1
    Brightness 5: 0
    Brightness 6: 0
    Brightness 7: 0
    Brightness 8: 0
    Brightness 9: 0
Path 3:
    Brightness 1: 1
    Brightness 2: 1
    Brightness 3: 1
    Brightness 4: 1
    Brightness 5: 1
    Brightness 6: 1
    Brightness 7: 1
    Brightness 8: 1
    Brightness 9: 1
