907 549
0 734 346
1 38 420
3 262 -1
4 697 67
5 535 487
6 639 725
7 365 -1
8 652 -1
9 -1 296
11 -1 419
12 -1 679
13 756 -1
17 332 718
19 530 289
20 144 165
21 260 -1
23 83 461
24 443 34
26 887 467
27 265 -1
28 439 578
29 875 458
30 211 823
32 889 -1
35 708 354
39 587 568
41 673 412
43 118 16
45 641 524
48 185 -1
49 193 901
50 222 -1
51 503 656
52 287 -1
53 634 280
55 904 441
57 -1 335
62 273 330
64 270 771
66 -1 692
70 -1 245
71 685 261
72 704 757
75 314 60
76 906 -1
77 278 111
78 788 380
79 -1 137
82 792 648
84 100 599
85 522 845
86 179 -1
87 -1 9
88 798 65
90 191 -1
91 606 885
92 -1 796
95 153 647
96 514 97
98 -1 417
99 613 4
101 855 468
102 -1 572
104 -1 813
105 342 -1
108 -1 747
110 248 765
111 537 559
112 -1 814
113 -1 783
115 114 124
116 577 55
117 288 607
118 372 881
119 367 399
120 -1 376
123 -1 286
124 32 -1
125 454 -1
126 -1 128
127 719 495
128 298 -1
129 854 -1
131 449 590
132 608 303
133 628 611
136 122 733
137 295 2
138 678 654
139 109 326
140 618 389
141 402 31
142 665 -1
143 283 49
144 795 874
145 616 474
147 -1 434
149 -1 701
153 601 518
154 882 526
157 -1 624
161 485 258
164 -1 132
166 84 810
167 511 324
170 555 664
171 671 491
172 825 832
173 12 59
175 239 713
179 284 -1
180 -1 343
181 -1 663
182 355 859
183 154 -1
184 63 583
185 231 888
186 659 378
188 181 236
189 481 -1
190 -1 19
191 26 403
192 -1 157
194 237 767
195 -1 360
196 538 666
198 840 687
199 334 -1
200 838 -1
202 404 737
203 905 145
204 198 54
206 836 199
209 712 564
210 465 429
212 489 -1
214 793 138
215 453 866
217 175 -1
219 345 133
221 861 -1
222 149 -1
223 386 73
224 602 174
227 190 498
229 -1 560
231 867 241
232 669 -1
233 -1 432
234 886 696
235 135 600
237 -1 513
238 -1 528
240 596 488
241 -1 786
245 -1 392
246 486 275
248 -1 736
252 96 349
253 595 182
254 447 898
257 820 536
258 130 707
259 462 605
260 680 872
262 170 -1
264 808 -1
265 471 -1
267 716 313
268 864 508
270 129 754
273 863 64
276 309 311
277 722 189
280 -1 655
281 794 551
284 586 74
285 339 780
286 436 -1
287 119 -1
289 405 102
294 340 -1
295 -1 223
296 699 21
298 585 501
300 348 834
302 347 575
306 351 240
307 804 99
308 433 216
311 291 39
314 161 33
315 438 807
316 640 504
317 68 603
318 791 851
319 544 805
321 899 29
322 357 816
323 263 763
326 384 509
327 815 -1
328 512 89
332 857 253
333 878 -1
334 407 136
335 210 320
340 126 428
341 116 197
342 -1 880
343 451 843
347 738 612
348 422 532
350 208 294
352 353 -1
353 290 51
355 893 337
356 -1 457
357 480 24
360 -1 627
362 811 46
364 53 243
365 300 244
367 396 591
369 -1 894
370 79 -1
371 -1 567
373 93 120
376 -1 315
377 350 592
378 -1 41
382 418 -1
384 686 163
385 -1 409
386 525 -1
387 58 681
388 790 -1
389 217 684
390 -1 469
391 -1 643
392 569 383
396 -1 352
397 677 891
398 151 424
401 660 715
402 212 632
409 877 732
410 751 897
411 14 764
412 344 667
413 390 -1
414 744 759
415 682 139
416 517 -1
417 131 47
418 -1 369
419 299 689
420 706 323
422 638 192
424 828 -1
425 460 103
427 563 452
429 729 853
430 -1 865
431 507 188
433 440 -1
434 768 233
435 557 36
436 841 683
437 597 900
438 830 435
439 -1 831
440 837 852
442 377 -1
443 493 -1
444 183 -1
445 675 -1
446 849 57
450 625 615
452 209 310
454 -1 307
456 5 247
457 318 478
458 835 -1
460 220 594
461 426 695
462 644 164
463 219 574
469 238 205
470 -1 589
471 413 400
472 490 753
473 730 90
474 475 565
475 622 735
477 27 824
479 156 883
481 391 448
483 50 868
486 274 184
488 812 6
489 -1 82
492 -1 784
493 516 543
494 285 623
495 159 848
496 -1 456
497 162 446
499 739 -1
500 554 529
501 802 772
502 773 479
504 896 450
505 20 -1
506 698 169
511 -1 633
512 694 180
513 566 325
514 80 221
517 200 515
518 195 11
519 272 774
521 22 143
522 -1 846
523 306 -1
525 819 30
528 -1 115
531 201 703
533 168 3
534 101 -1
535 308 242
536 249 626
538 -1 321
539 743 -1
543 127 10
544 903 821
545 553 -1
547 167 329
548 746 884
549 506 -1
551 576 172
553 -1 341
554 588 876
555 147 720
557 750 18
559 582 327
560 359 371
561 232 710
566 146 171
567 25 785
568 -1 415
569 844 -1
571 801 228
572 -1 782
579 87 484
