Jogador               Pontos
----------------------------
StefanosTsitsipas        500
Andrey Rublev            300
Casper Ruud              180
Daniel Evans             180
Alejandro Fokina          90
David Goffin              90
Fabio Fognini             90
Rafael Nadal              90
Alexander Zverev          45
Alexei Popyrin            45
Filip Krajinovic          45
Grigor Dimitrov           45
John Millman              45
Novak Djokovic            45
Pablo Carreno Busta       45
Roberto Bautista Agut     45
Aslan Karatsev            20
Cristian Garin            20
Diego Schwartzman         20
Federico Delbonis         20
Hubert Hurkacz            20
Jannik Sinner             20
Jeremy Chardy             20
Jordan Thompson           20
Juan Ignacio Londero      20
Karen Khachanov           20
Lorenzo Sonego            20
Lucas Pouille             20
Marco Cecchinato          20
Matteo Berrettini         20
Salvatore Caruso          20
Tommy Paul                20
Adrian Mannarino           0
Albert Ramos-Vinolas       0
Alex de Minaur             0
Alexander Bublik           0
B1                         0
B2                         0
B3                         0
B4                         0
B5                         0
B6                         0
B7                         0
B8                         0
Benoit Paire               0
DominikKoepfer             0
Dusan Lajovic              0
Felix Auger-Aliassime      0
Guido Pella                0
Holger Nodskov Rune        0
Jan-Lennard Struff         0
Laslo Djere                0
Lorenzo Musetti            0
Lucas Catarina             0
Marin Cilic                0
Marton Fucsovics           0
Miomir Kecmanovic          0
Nikoloz Basilashvili       0
Pablo Andujar              0
Pedro Martinez             0
Stefano Travaglia          0
Taylor Fritz               0
ThomasFabbiano             0
Ugo Humbert                0
