9
0
1 2
01:40 01:41
01:39 01:40
01:40 01:41
3
1 1
01:40 01:41
01:44 01:45
1
2 2
12:01 12:03
12:08 12:11
12:08 12:10
12:08 12:10
5
4 2
00:01 00:08
00:01 00:11
00:19 00:26
00:06 00:15
00:03 00:09
00:03 00:10
0
4 2
00:13 00:23
00:04 00:14
00:11 00:21
00:17 00:22
00:10 00:15
00:00 00:07
4
4 5
20:47 21:08
20:11 20:38
20:55 21:09
20:27 20:50
20:55 21:07
20:33 21:03
20:37 21:02
20:47 21:07
20:17 20:39
4
7 8
05:08 05:10
05:13 05:15
05:07 05:11
05:13 05:18
05:10 05:12
05:13 05:18
05:11 05:15
05:08 05:11
05:09 05:10
05:10 05:15
05:02 05:06
05:11 05:12
05:00 05:03
05:03 05:05
05:09 05:13
4
3 11
19:30 20:08
18:40 18:50
18:13 18:32
19:32 19:57
19:12 19:30
19:57 20:15
19:43 20:05
19:40 20:00
19:33 19:57
19:09 19:35
19:53 20:03
19:12 19:27
19:05 19:17
19:39 19:51
3
15 9
12:08 12:28
12:48 13:03
12:57 13:10
12:54 13:06
13:10 13:22
12:17 12:29
12:49 13:09
13:12 13:32
12:48 13:00
13:25 13:37
14:00 14:14
12:32 12:44
12:36 12:56
14:00 14:16
12:28 12:38
11:19 11:32
13:34 13:50
14:25 14:44
12:24 12:41
12:47 13:05
11:44 12:04
11:05 11:21
12:24 12:42
11:34 11:53
