100 1412
1525 8373
0 1 62
0 4 78
0 5 5
0 7 93
0 8 65
0 9 91
0 13 87
0 16 88
0 17 56
0 18 65
0 19 95
0 20 79
0 24 62
0 26 10
0 30 58
0 31 57
0 32 67
0 40 96
0 43 24
0 50 18
0 56 84
0 59 34
0 60 40
0 65 43
0 68 75
0 70 73
0 77 18
0 80 95
0 92 78
1 9 47
1 12 17
1 14 79
1 19 33
1 24 85
1 27 33
1 28 45
1 37 67
1 43 38
1 44 65
1 49 68
1 59 31
1 63 84
1 68 24
1 71 84
1 82 80
1 93 46
1 97 36
2 10 63
2 15 26
2 16 41
2 19 58
2 33 54
2 34 40
2 45 46
2 51 15
2 58 54
2 60 25
2 62 32
2 67 49
2 71 46
2 77 50
2 78 44
2 79 47
2 80 33
2 96 50
2 97 40
3 11 53
3 17 66
3 25 27
3 26 76
3 28 50
3 29 72
3 34 21
3 36 16
3 38 29
3 40 15
3 41 11
3 43 56
3 49 62
3 51 53
3 53 46
3 55 47
3 62 68
3 64 80
3 70 19
3 73 78
3 74 36
3 75 41
3 76 63
3 80 49
3 83 26
3 85 30
3 86 17
3 87 35
3 88 44
3 90 78
3 92 104
3 93 66
3 95 45
4 6 58
4 7 39
4 8 54
4 9 12
4 10 80
4 11 41
4 14 66
4 17 47
4 18 19
4 27 57
4 32 18
4 33 41
4 34 17
4 43 56
4 52 35
4 54 50
4 56 30
4 60 47
4 64 68
4 68 16
4 69 78
4 70 7
4 71 46
4 72 30
4 74 18
4 76 44
4 78 63
4 85 51
4 86 28
4 88 31
4 93 66
4 94 35
4 98 69
5 14 59
5 22 41
5 28 52
5 30 61
5 33 79
5 34 96
5 37 59
5 40 97
5 43 26
5 44 101
5 50 15
5 51 76
5 52 63
5 58 56
5 59 37
5 61 82
5 62 44
5 63 78
5 73 8
5 74 68
5 75 54
5 81 95
5 82 86
5 86 99
5 96 17
6 7 97
6 9 63
6 16 78
6 27 82
6 29 67
6 36 98
6 38 53
6 48 27
6 51 28
6 64 49
6 66 32
6 69 91
6 72 46
6 77 78
6 78 63
6 84 61
6 89 96
6 90 81
6 91 58
6 94 61
6 98 65
7 8 91
7 12 37
7 13 12
7 15 75
7 18 55
7 19 2
7 22 56
7 25 40
7 26 89
7 30 47
7 35 70
7 36 4
7 43 69
7 48 71
7 50 84
7 51 69
7 58 42
7 59 60
7 61 85
7 64 96
7 71 82
7 72 59
7 75 57
7 78 83
7 86 18
7 90 90
7 94 62
7 97 67
8 15 32
8 16 74
8 17 11
8 20 25
8 21 40
8 28 30
8 30 46
8 33 87
8 35 23
8 36 91
8 40 87
8 41 86
8 48 30
8 64 33
8 65 31
8 70 55
8 77 63
8 79 14
8 80 50
8 85 90
8 86 83
8 89 80
8 94 67
9 12 36
9 14 75
9 15 60
9 18 30
9 20 86
9 21 29
9 22 70
9 27 70
9 31 61
9 34 10
9 38 14
9 39 9
9 40 31
9 46 40
9 48 35
9 60 58
9 65 84
9 76 52
9 78 75
9 80 22
9 81 5
9 86 24
9 91 16
9 92 91
9 96 77
10 12 60
10 21 91
10 28 49
10 30 60
10 33 80
10 34 95
10 35 55
10 43 26
10 46 76
10 47 44
10 48 82
10 52 64
10 54 58
10 55 89
10 56 85
10 57 92
10 59 36
