SHIPPING ROUTES OUTPUT

DATA SET  1

NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
NO SHIPMENT POSSIBLE
