MDC(154,118) = 2
MDC(42,48) = 6
MDC(125,196) = 1
MDC(36,106) = 2
MDC(105,164) = 1
MDC(43,152) = 1
MDC(197,17) = 1
MDC(43,66) = 1
MDC(208,86) = 2
MDC(68,233) = 1
MDC(226,108) = 2
MDC(91,131) = 1
MDC(133,19) = 19
MDC(131,39) = 1
MDC(230,93) = 1
MDC(85,30) = 5
MDC(173,131) = 1
MDC(101,88) = 1
MDC(240,239) = 1
MDC(242,188) = 2
MDC(225,237) = 3
MDC(44,115) = 1
MDC(1,46) = 1
MDC(187,152) = 1
MDC(73,147) = 1
MDC(127,251) = 1
MDC(80,87) = 1
MDC(251,166) = 1
MDC(7,174) = 1
MDC(64,182) = 2
MDC(190,75) = 5
MDC(78,218) = 2
MDC(167,62) = 1
MDC(60,101) = 1
MDC(47,193) = 1
MDC(20,250) = 10
MDC(41,143) = 1
MDC(20,55) = 5
MDC(45,94) = 1
MDC(163,7) = 1
MDC(238,231) = 7
MDC(89,138) = 1
MDC(48,89) = 1
MDC(197,105) = 1
MDC(119,40) = 1
MDC(102,177) = 3
MDC(139,71) = 1
MDC(121,239) = 1
MDC(160,176) = 16
MDC(153,19) = 1
MDC(120,95) = 5
MDC(100,98) = 2
MDC(31,7) = 1
MDC(187,99) = 11
MDC(232,71) = 1
MDC(14,90) = 2
MDC(183,67) = 1
MDC(124,187) = 1
MDC(66,11) = 11
MDC(227,121) = 1
MDC(110,148) = 2
MDC(140,71) = 1
MDC(189,239) = 1
MDC(43,102) = 1
MDC(90,45) = 45
MDC(20,231) = 1
MDC(73,118) = 1
MDC(13,17) = 1
MDC(40,8) = 8
MDC(183,22) = 1
MDC(224,251) = 1
MDC(166,215) = 1
MDC(15,184) = 1
MDC(35,103) = 1
MDC(99,118) = 1
MDC(146,40) = 2
MDC(85,108) = 1
MDC(81,235) = 1
MDC(178,35) = 1
MDC(88,198) = 22
MDC(202,123) = 1
MDC(178,78) = 2
MDC(66,220) = 22
MDC(218,53) = 1
MDC(28,50) = 2
MDC(75,224) = 1
MDC(106,123) = 1
MDC(146,166) = 2
MDC(124,46) = 2
MDC(132,28) = 4
MDC(32,1) = 1
MDC(192,181) = 1
MDC(159,72) = 3
MDC(123,146) = 1
MDC(242,114) = 2
MDC(256,48) = 16
MDC(29,46) = 1
MDC(159,12) = 3
MDC(39,182) = 13
MDC(238,138) = 2
