100 100
68 53 47
92 27 58
86 21 88
85 57 8
87 35 38
8 20 23
85 89 100
71 27 35
84 35 78
14 100 94
19 97 70
41 49 23
27 100 36
17 100 53
96 58 77
80 47 84
58 45 60
63 74 48
77 27 1
82 4 16
37 59 97
49 17 83
91 19 4
57 60 3
59 10 90
19 6 98
72 39 68
85 16 30
74 8 26
40 97 70
84 42 69
69 35 98
80 51 18
67 88 74
54 7 1
100 31 75
11 66 37
62 42 19
12 94 39
24 48 48
43 3 43
10 97 16
81 58 44
26 11 60
60 18 35
44 42 45
43 13 87
59 14 61
86 36 78
67 33 30
96 41 23
87 6 45
12 89 31
30 61 3
44 58 67
21 97 83
28 79 46
27 87 78
59 64 69
35 41 24
78 24 11
100 26 84
91 3 27
3 98 2
94 54 95
25 71 12
22 12 58
81 64 7
55 18 40
51 78 93
26 18 83
94 11 21
84 26 56
16 81 34
44 81 11
28 70 29
64 10 100
7 30 76
49 86 22
35 46 90
35 1 55
1 87 26
98 24 32
59 52 47
71 55 10
29 57 20
11 5 27
31 45 96
84 98 21
64 81 85
75 68 68
91 53 25
79 66 58
12 83 41
98 34 80
97 93 24
16 38 25
95 64 88
48 58 38
93 32 45
