caso 0:
4 50
3 100
3 28
3 20
3 0
3 51
4 15
4 125
5 30
4 115
2 33
4 80
4 162
4 55
3 100
4 6
3 36
3 120
4 95
3 76
4 120
2 63
5 114
4 43
3 8
3 48
3 140
4 90
4 45
3 151
3 60
5 54
3 92
4 135
3 68
5 186
3 112
4 85
3 76
3 20
5 30
5 180
4 150
3 104
3 84
4 20
4 120
3 130
3 24
4 155
3 96
3 72
4 0
4 145
4 115
2 53
3 101
4 10
4 130
4 140
4 100
1 76
4 40
3 104
4 150
4 5
3 52
2 87
4 10
4 35
4 10
3 24
3 60
2 0
3 20
3 45
4 115
4 151
3 116
4 65
4 0
4 90
4 110
3 21
4 40
4 105
3 56
2 21
5 96
5 180
3 52
4 25
4 90
3 140
2 93
3 50
2 4
4 61
4 135
3 100
3 158
3 16
2 3
3 35
4 25
4 175
4 60
3 61
4 96
4 15
3 81
3 88
3 116
4 45
3 116
3 61
5 12
3 15
4 100
4 55
4 105
4 40
4 168
4 55
3 124
4 0
4 15
3 151
2 32
2 17
4 20
3 92
5 156
4 5
4 5
3 141
5 144
4 65
4 100
5 120
4 35
3 112
4 100
3 48
3 92
3 28
4 156
2 60
4 187
4 100
3 100
4 50
3 80
4 5
3 108
4 25
3 66
4 150
5 18
4 49
5 24
3 44
2 9
3 126
3 56
5 120
5 78
3 116
4 61
3 100
4 151
5 120
3 44
4 90
3 65
3 68
2 27
4 25
2 132
4 135
4 0
1 34
4 135
3 11
4 50
2 57
1 75
4 105
4 0
5 186
4 125
3 168
4 130
3 15
3 10
3 45
4 40
3 72
4 90
5 96
3 20
4 110
4 151
3 108
4 10
4 50
2 108
2 93
5 156
3 10
5 66
4 5
4 10
5 174
3 12
5 156
3 24
3 116
3 4
3 64
5 36
3 26
4 114
2 16
5 36
5 156
2 9
4 115
4 140
5 0
1 34
5 174
4 80
2 108
2 15
3 24
3 76
3 20
3 46
3 86
3 106
5 132
3 0
4 150
5 156
3 61
3 16
4 135
4 75
3 125
3 80
4 30
3 24
2 17
5 90
3 51
3 1
2 76
3 8
4 144
3 105
3 35
5 0
3 96
3 0
3 26
5 144
5 102
3 8
3 60
5 102
5 30
5 60
4 70
3 32
3 136
4 95
3 92
5 168
3 6
3 112
4 20
4 162
4 50
3 88
4 132
4 65
2 48
3 20
4 110
3 112
4 15
2 113
1 60
4 65
2 51
3 155
4 5
3 92
4 65
5 186
4 155
3 120
4 6
4 85
3 116
4 100
4 90
2 39
2 8
4 145
3 135
3 44
4 25
3 36
3 135
3 120
4 70
3 60
4 110
4 75
4 130
