id,name,time,evaluation
54,Banda,0.00272,CORRECT
812,Saldo de gols,0.00516,CORRECT
684,Carteiro,0.048804,CORRECT
814,Dominó,0.003291,CORRECT
817,Chuva (OBI),0.047563,CORRECT
813,Macaco prego,0.015449,CORRECT
2201,Piso,0.002096,WRONG_ANSWER
3598,Idade,0.002055,WRONG_ANSWER
373,Capital,0.002028,WRONG_ANSWER
3599,Sequência Secreta,0.001758,CORRECT
176,Times,0.008289,CORRECT
3601,Distância entre amigos,0.07195,WRONG_ANSWER
54,Banda,-1.0,COMPILATION_ERROR
812,Saldo de gols,0.004222,CORRECT
684,Carteiro,0.065694,CORRECT
814,Dominó,0.002065,CORRECT
817,Chuva (OBI),0.051259,CORRECT
813,Macaco prego,0.009451,WRONG_ANSWER
